Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,Drafted
Tory Horton,WR,Colorado St.,College Stats,3-Jun,196,4.41,37.5,,,,,Seattle Seahawks / 5th / 166th pick / 2025,HortTo00,1
Will Howard,QB,Ohio St.,College Stats,4-Jun,236,,31.5,,112,7.13,4.33,Pittsburgh Steelers / 6th / 185th pick / 2025,HowaWi01,1
Joe Huber,G,Wisconsin,College Stats,5-Jun,310,5.2,28,,106,7.69,4.78,,HubeJo00,0
Kobe Hudson,WR,Central Florida,College Stats,1-Jun,193,4.57,35,,122,,,,HudsKo00,0
Jarquez Hunter,RB,Auburn,College Stats,9-May,204,4.44,33.5,21,120,,,Los Angeles Rams / 4th / 117th pick / 2025,HuntJa03,1
Travis Hunter,CB/WR,Colorado,College Stats,Jun-00,188,,,,,,,Jacksonville Jaguars / 1st / 2nd pick / 2025,HuntTr00,1
Alijah Huzzie,CB,North Carolina,College Stats,10-May,193,,,,,,,,-9999,0
Thomas Fidone II,TE,Nebraska,College Stats,5-Jun,243,4.7,35.5,,126,7.01,4.29,,-9999,1
Oronde Gadsden II,TE,Syracuse,College Stats,5-Jun,243,,34,,114,,,Los Angeles Chargers / 5th / 165th pick / 2025,GadsOr01,1
Ollie Gordon II,RB,Oklahoma St.,College Stats,1-Jun,226,4.61,34.5,,120,,,Miami Dolphins / 6th / 179th pick / 2025,GordOl00,1
Torricelli Simpkins III,C,South Carolina,College Stats,5-Jun,312,5.45,29,,110,,,,-9999,0
Luther Burden III,WR,Missouri,College Stats,Jun-00,206,4.41,,,,,,Chicago Bears / 2nd / 39th pick / 2025,BurdLu00,1
Howard Cross III,DT,Notre Dame,College Stats,1-Jun,285,,29,,104,,,,CrosHo01,0
Rayuan Lane III,SAF,Navy,College Stats,11-May,200,4.57,37,,128,7.1,4.28,Jacksonville Jaguars / 6th / 200th pick / 2025,LaneRa00,1
Ricky White III,WR,UNLV,College Stats,1-Jun,184,4.61,36,,123,,,Seattle Seahawks / 7th / 238th pick / 2025,WhitRi01,1
