Season,Id,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Ranking
2025,5227400,Travis Terrell Jr.,RB,Jackson State,,0.233,-0.188,0.258,0.174,-0.025,1.256,0.229,0.248,20.738,-0.942,21.68,8.875,-0.695,12.558,15.776,4.963,128
2025,5227403,Nate Blount IV,RB,Jackson State,,-0.536,,-0.536,,-0.536,,0.049,-1.121,-1.071,0,-1.071,0,-1.071,0,0.049,-1.121,837
2025,5227425,Parker Stofa,QB,Jackson State,,-0.482,-1.277,1.9,-1.153,1.9,-1.338,0.374,-1.338,-1.929,-3.83,1.9,-1.153,1.9,-2.677,0.748,-2.677,611
2025,5227430,Kobe Muasau,QB,Morgan State,,0.26,0.232,0.438,0.027,-0.075,0.795,0.07,0.424,37.248,28.482,8.767,1.142,-3.654,34.965,4.605,32.643,224
2025,5227447,Ferdinand Nyivih,WR,Morgan State,,0.39,0.39,,-1.015,-0.863,2.345,-0.925,1.266,1.949,1.949,0,-1.015,-1.727,4.691,-1.85,3.799,1424
2025,5227460,Kai Honda,RB,Princeton,,0.03,0.548,-0.077,-0.298,0.509,-0.156,-0.135,0.638,1.402,4.386,-2.984,-7.741,8.658,-0.469,-4.983,6.385,588
2025,5227462,Landon DePrima,WR,Princeton,,-0.158,-0.158,,,-0.158,,,-0.158,-0.158,-0.158,0,0,-0.158,0,0,-0.158,1705
2025,5227464,Christian Lynch,RB,Princeton,,-0.207,-0.431,-0.113,-0.268,-0.103,-0.268,-0.188,-0.244,-5.587,-3.447,-2.139,-3.75,-1.032,-0.804,-3.388,-2.199,1064
2025,5227484,Kiron Benjamin,RB,Norfolk State,,-0.027,-1.64,0.295,0.967,-0.035,0.181,0.125,-0.332,-0.164,-1.64,1.476,0.967,-0.035,0.543,0.5,-0.664,733
2025,5227495,Parker Lancaster,QB,Norfolk State,,-0.464,-0.24,-2.256,0.615,-0.844,-0.607,0.615,-0.772,-4.173,-1.918,-2.256,1.23,-1.687,-2.429,1.23,-5.404,655
2025,5227504,Kam'ryn Thomas,WR,Norfolk State,,0.494,0.495,0.359,0.207,0.64,0.539,0.208,0.896,40.47,40.111,0.359,6.41,21.762,8.623,9.991,30.479,138
2025,5227510,Cuttler Adams,RB,Yale,,0.66,,0.66,0.66,,,0.66,,0.66,0,0.66,0.66,0,0,0.66,0,647
2025,5227521,Kyle Maltarich,WR,Yale,,0.458,0.458,,,0.458,,0.458,,0.916,0.916,0,0,0.916,0,0.916,0,1548
2025,5227534,Brady Wagner,TE,Yale,,0.502,0.502,,-0.061,0.371,0.253,-0.258,1.262,5.021,5.021,0,-0.184,1.113,0.758,-1.288,6.309,330
2025,5227539,Cameron Barmore,TE,Arizona,B12,0.401,0.401,,0.506,-0.187,0.723,0.189,0.555,7.625,7.625,0,1.518,-1.122,7.229,1.516,6.109,234
2025,5227542,Ayron Rodriguez,RB,Mercyhurst,,-0.095,0.012,-0.128,-0.181,-0.253,0.66,-0.23,0.165,-7.826,0.231,-8.057,-7.233,-7.848,7.255,-12.437,4.611,1114
2025,5227546,Chaz Davis,WR,Mercyhurst,,0.157,0.157,,,0.157,,,0.157,0.157,0.157,0,0,0.157,0,0,0.157,1653
2025,5227548,Joe Kerbacher,WR,Mercyhurst,,0.679,0.729,-0.57,-0.574,0.005,0.865,0.549,0.774,17.645,18.215,-0.57,-3.442,0.029,6.057,6.039,11.606,534
2025,5227550,Rylan Davison,WR,Mercyhurst,,0.657,0.657,,0.601,0.619,0.793,0.648,0.669,30.214,30.214,0,11.414,9.286,9.514,17.506,12.708,263
2025,5227557,Alex Gevaudan,QB,Mercyhurst,,-0.067,-0.067,,-0.43,-0.294,0.401,-0.363,0.304,-1.799,-1.799,0,-4.735,-1.472,4.409,-5.442,3.643,608
2025,5227561,Braydon Black,WR,Mercyhurst,,0.152,0.152,,0.086,-0.117,0.444,0.011,0.251,2.592,2.592,0,0.515,-0.586,2.663,0.079,2.513,1337
2025,5227565,Adam Urena,QB,Mercyhurst,,0.159,0.179,-0.08,-0.033,0.076,0.44,-0.036,0.391,49.495,53.198,-1.04,-3.566,7.25,37.85,-6.056,55.552,190
2025,5227566,Colin Melendez,TE,Mercyhurst,,-0.074,-0.074,,-0.495,0.037,-0.394,-0.068,-0.086,-0.663,-0.663,0,-0.99,0.146,-0.788,-0.406,-0.257,731
2025,5227582,Jonathan Askew,RB,Mercyhurst,,-0.011,-0.585,0.046,-0.265,-0.751,1.618,-0.011,,-0.123,-0.585,0.461,-1.858,-1.502,3.236,-0.123,0,725
2025,5227583,Alejandro Vazquez,TE,Mercyhurst,,0.184,0.184,,-0.692,1.06,,-0.692,1.06,0.368,0.368,0,-0.692,1.06,0,-0.692,1.06,636
2025,5227631,Ashton Wilson,TE,Mercyhurst,,0.43,0.43,,0.429,0.46,0.263,0.253,0.786,5.165,5.165,0,2.143,2.758,0.263,2.022,3.143,322
2025,5227633,Evan Van Dyke,WR,Mercyhurst,,0.419,0.405,0.587,0.275,0.423,0.933,0.315,0.546,21.371,19.022,2.349,5.776,4.235,15.86,8.81,12.561,442
2025,5227681,Cameron Peters,QB,Prairie View A&M,,0.382,0.427,0.251,0.017,0.395,0.909,0.154,0.71,124.85,104.609,20.309,2.279,39.497,77.298,29.724,95.126,55
2025,5227684,Jeremiah Ratliff,WR,Prairie View A&M,,2.081,2.081,,2.081,,,2.081,,2.081,2.081,0,2.081,0,0,2.081,0,1404
2025,5227685,Rodny Ojo,WR,Prairie View A&M,,0.389,0.48,-0.675,-0.143,0.651,0.214,0.324,0.469,14.774,16.799,-2.025,-1.289,12.374,1.928,6.8,7.974,623
2025,5227686,Chase Bingmon,RB,Prairie View A&M,,0.019,0.303,-0.018,-0.019,-0.066,0.57,-0.001,0.084,2.623,4.85,-2.226,-1.454,-3.351,7.412,-0.157,2.78,510
2025,5227697,Ethan John,TE,Prairie View A&M,,1.028,1.028,,-0.025,1.291,3.4,0.111,2.678,14.395,14.395,0,-0.15,7.745,6.799,1.003,13.392,114
2025,5227699,Beckham Pellant,QB,Illinois State,,-0.048,0.008,-0.884,-0.384,-0.599,0.655,-0.477,0.286,-0.766,0.118,-0.884,-2.304,-2.395,3.933,-3.338,2.572,571
2025,5227704,Dylan Lord,WR,Illinois State,,0.471,0.487,-0.927,0.123,0.802,1.079,0.282,0.883,40.501,41.429,-0.927,4.442,17.648,24.824,16.667,23.834,137
2025,5227723,Luke Mailander,WR,Illinois State,,0.459,0.459,,0.598,0.047,0.763,0.552,0.273,33.065,33.065,0,22.112,1.037,9.915,26.504,6.561,208
2025,5227733,Brock Riddle,QB,Indiana State,,0.185,0.187,0.176,0.041,-0.272,0.608,0.196,0.174,7.956,6.726,1.231,0.62,-3.264,8.518,4.305,3.651,367
2025,5227734,Torey French,WR,Indiana State,,0.399,0.399,,1.067,0.874,-0.417,0.85,0.153,6.782,6.782,0,5.336,4.368,-2.922,5.1,1.682,981
2025,5227742,Nick Osho,RB,Indiana State,,-0.004,-0.111,0.014,-0.277,-0.069,0.834,-0.118,0.281,-0.395,-1.666,1.271,-13.28,-2.408,16.675,-9.117,8.722,772
